aDC,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ memory T-cells,CD4+ naive T-cells,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD8+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,cDC,Chondrocytes,Class-switched memory B-cells,CLP,CMP,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,Hepatocytes,HSC,iDC,Keratinocytes,ly Endothelial cells,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,MEP,Mesangial cells,Monocytes,MPP,MSC,mv Endothelial cells,Myocytes,naive B-cells,Neurons,Neutrophils,NK cells,NKT,Osteoblast,pDC,Pericytes,Plasma cells,Platelets,Preadipocytes,pro B-cells,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,ImmuneScore,StromaScore,MicroenvironmentScore,sample,cohort
0.067003093538701,0,0,0.000283930582549224,0.0121184791601295,0,1.34151432460137e-19,5.60275975874925e-20,0,0.00639447184981937,0.00025823067585687,2.38930118200355e-20,0.00224419133864743,0,0.00551165534238808,0,0.0130255051959826,2.74945112587634e-21,7.82389931907181e-19,0,0.00538408020899882,0,0.00444910637476883,0,0.0188954806150244,0.00668284374080242,0,0.00570492310119721,0,0,3.63143744664565e-05,0.0158742999336504,0.012727304166454,0.00171598682454294,0.000462630421843216,7.45077471345454e-05,0.000843923629293757,0,0.0248749135400787,0,0,0.00266061307887845,0.0809738925204778,0.00557043700233312,0.00208020804897993,0.00366998695720877,0.000295333761071217,0,1.47690107663074e-18,0.000533519349834313,5.7568802315994e-19,0,0,0.00413396700245973,1.33793422720125e-18,0,0,0,7.31768366794379e-19,0.0758905304728559,0,0.00156920396371577,0.00502539277573562,0.0037704815075765,0.0110805739586952,0.0121397804120116,0.0232203543707068,GSM3758005,GSE130970
0.0133226802643289,5.33424268566704e-19,0,1.36424683445415e-19,0.0415553518996184,0,9.64070550853539e-19,1.25520824745314e-18,0.00164579449562625,0,1.45136715683939e-18,3.62968499760005e-18,1.4800411243029e-19,5.45275946558245e-18,0.00715528032654075,0,1.44869697712245e-18,0.000341435879667925,2.37745294674257e-19,1.80152291587194e-19,0.000255540900531212,1.3423289037221e-18,0.00119682450253469,8.32148268125462e-21,0.00529257636444733,0,0,0.00555381166312257,0,2.00280735599371e-19,0,0.00380192034994918,0.00418520788760767,0.000106141824804275,0.000523259895432645,0,0.000859467620790386,0,0.0331193887858441,0,2.28409786486404e-18,0,0.105538587535948,0.00125595650171369,0,4.10530217593375e-19,0.000343725315750555,2.51673338260124e-20,9.39414176294674e-18,0,1.20124019914227e-18,0,0,0.0130726601229194,6.40323738695819e-19,5.25205432187956e-19,0,0,0,0.058447525196707,4.52700160792782e-19,0.00402853066451002,0,0.00186256044149822,0.00288345349692123,0.00277405863248927,0.0056575121294105,GSM3758006,GSE130970
0.0782291108084449,0,0,0,0.0200083031272788,0,4.1827332787094e-20,2.20723646090844e-18,0,0,0,0,0,0,0.0148844183876428,1.14105304143828e-18,5.46490662843338e-19,0.000439190558395026,1.77817011704529e-18,0,0.00234875472572486,2.39160169422739e-18,0.00180378495239894,1.84017271928444e-20,0.0212461020411197,0.0125123412934089,7.82297610040408e-20,0.0626962045510936,0,8.87612121030842e-20,0,0.00714456800821133,0.0095404390048507,8.96981639193241e-21,3.30851754161776e-20,0,0.000647710611739904,0,0.0217119136397206,0.00258885839239037,0,1.08321501528486e-17,0.0512352506672261,0.00273574322371389,6.60922476639159e-19,1.09770618033435e-18,0.000250949779904649,0,0,0.00139531882089282,0,0,1.41599222185328e-18,0.00284136222357037,2.8231215828852e-18,0,0,0,6.95795724780839e-19,0.0836329795627372,0,0,7.70428981435122e-21,0,0.00476304533880755,0.0117974283834223,0.0165604737222298,GSM3758007,GSE130970
0.0626171961471971,0,0,0,0.0406251449812047,0,1.37055745999601e-18,0,0.00179095510177248,0,0,1.29554580201934e-19,5.3081699839659e-19,0,0.00765319006762479,5.76146495711154e-19,0,0.00030883727432063,0,2.89330194226502e-19,0.00587246837038136,0,2.0425151191653e-05,0,0.0190109366405638,0.00856382986131957,5.77188614429676e-20,0.0322944910898868,0,0,0,0.0190673237079552,0.0138886649770716,0.00270672736786778,0.00102931126175348,0.00103350193562844,0.000639751746921254,0,0.0220422970128545,0,0,0,0.053778578455883,0.0114465393737491,0,5.352992431682e-20,0.000244526469394187,0,6.40769940065432e-18,0.000173441971820287,2.76628791627344e-18,6.22993357219873e-20,0,0.00406552236579851,0,0,7.11117711592506e-19,0,0,0.0654727691802379,2.94264984063077e-19,0,0.00793594184808636,0.00190435418002389,0.0133977566464725,0.0124417025054726,0.0258394591519451,GSM3758008,GSE130970
0.11779865810748,0.000716847968608342,0,0.00610212501894569,0.00917835573719555,0.00111121511000961,4.10254597863928e-20,0.00100230620098153,8.80933234517555e-19,0.0264064380937138,0,0.00337644656149713,0.00808783557668113,0,0.0190222804638543,8.79089192850221e-19,0.00472370849684068,0.00529085879367437,0,0,0.029696721718785,3.98921714538155e-19,0.00427651735345026,5.08580943867746e-19,0.134358701877539,3.0898662569499e-18,0,0,0.00471641524797472,0,0.00154737516471073,0.0228038208360621,0.0134535162165279,7.42210239185121e-19,0.00511109984456913,0,0.000148236400290534,5.50040762947551e-18,0,0.0384545384967174,0.00615583729254566,6.31165436363776e-19,0.111606309476119,0.0120657132514784,2.6510524165835e-18,0.00773690656116022,0.000547175989253779,7.01040449705204e-21,2.86400677731996e-18,0.00248888981973112,6.69176899944894e-20,6.26671874894857e-05,0.022374813804191,0,0,0,1.35582457912036e-20,0,0,0.197852925080464,2.39538971517519e-19,0,0.010370787820821,0,0.0297010905030675,0.0823861357824661,0.112087226285534,GSM3758009,GSE130970
0.0276516564912516,0,0,0,0.0351891047958888,2.22446058744815e-19,2.6188879880276e-18,8.54781194333934e-19,0,3.78321091977576e-20,0,0,0,0,0.0125519330031836,5.4691179320841e-18,0,0.0089185963059482,0,0,7.50379684485915e-19,2.30634046352841e-19,0.00219708780687243,1.567673798996e-19,0.00183278423356624,1.13931424689437e-20,1.49573855941652e-18,0.00196246962759789,4.17130248469707e-18,0,5.17274820228452e-19,0.00481998761785416,0.00591127296303457,0.000429671857276932,0,1.17520844444503e-20,0.00105477721437309,8.18005203622047e-19,0.0397929640574855,0,0,0.0011282401140311,0.122815622332406,0.0021387582282185,0.00144962333725051,3.22758497039485e-19,6.26129120634726e-05,0,1.5149933330265e-17,0.00761151485211038,0.000864727510906753,0,9.62246395858179e-19,0.00951644351777702,0,0,7.1241369827083e-20,0,0,0.0801322759295394,6.48899053199756e-19,0.00979630743801356,0.00662532739445015,2.78348578099682e-19,0.00321332507856945,0.00091639211678312,0.00412971719535257,GSM3758010,GSE130970
0.125392477877423,7.10468978290666e-19,0,0,0,0.00151485158173775,3.70859905528588e-19,3.53130926551544e-20,0,0.00998858279237607,0.0019932623894183,0,0.0141227891011658,0,0.0765966302411933,0,0,0.0130476649402651,0,0.0004890843896407,0.00072678837703864,0,0.00601049198039558,0,5.4711963266174e-18,0.0504998823952302,0,0.0626616772227977,0.039725306024445,0,0,0.0394664534367415,0.0230401795209704,5.61076246774635e-05,0,0.000977146437334202,0.000138222469166092,3.40017128045135e-18,0.0800601883249278,4.63012422815451e-18,0.00450645636685985,0,0.200912689153858,0.0101390346222338,0,0,8.31504310450539e-05,2.59672145854714e-21,5.59511607658074e-19,0.00101263532198711,0,0,0,0.0149134533152038,0,0,2.94501906855772e-18,5.05311128548233e-21,0,0.185149149159821,9.16831785799794e-19,0.0320658274537548,5.02907477932259e-19,4.54301292279196e-19,0.0296413294621614,0.000363394188519323,0.0300047236506807,GSM3758011,GSE130970
0.0667264396838392,0,0,0,2.80084846849379e-19,1.59032911013318e-19,0,0,0,0.00336440451963125,0.000773832878570904,2.62129596614262e-18,0.00439193555923671,0.00172982256764854,0.0136784249552123,0,0.00420200906598813,0.0108177906766347,0,0,0.00516439054159017,0,0.001860367433377,0,5.52992230363333e-18,0.0215614570146156,6.8647956701082e-19,0.0595052329370675,4.55908272289489e-18,7.09468776995658e-22,0,0.01511979046893,0.00656119891937177,0.00640622815588346,0,6.18315510378593e-05,0.000634050113318883,0,0.0600277975408599,7.79381528150763e-19,0,0,0.147459684634013,0.00768207329000463,0,8.15847058296646e-20,2.86126384992926e-05,0,0,0.00117011690773075,0,5.99885344168368e-19,0,0.00546584593306128,0,0,3.54484231219416e-18,0,4.5494439204822e-18,0.125184135202985,0,0.0132662227295597,0,5.44179702426746e-19,0.01007986031262,0.00258219527079509,0.0126620555834151,GSM3758012,GSE130970
0.0743072029434816,0,0,3.8502525637898e-19,0.0277603651864155,2.85967142738959e-19,1.02123252797046e-18,8.97135186942629e-19,0.00519980511561831,1.51185970143393e-19,0,5.82074588483142e-20,0,3.03836342721772e-19,0.00877662842071946,0,1.3873435436216e-19,0,1.79396235165708e-18,8.16713075633844e-21,0.00422724899027909,1.55306755921469e-18,0.000495903308192048,0,0.0176819920934035,0.0206732976225586,0,0.0583939771903806,1.24703051985124e-18,0,0,0.00367036730123455,0.00644861161437772,0,6.81392996482706e-20,0,0.000923423472658166,0,0.0217373277836467,5.31049049824376e-19,0,6.81768947883108e-18,0.0520505992131461,0.00541212354078092,0.000873439782248398,4.21788285564048e-19,0.000496523503407776,1.10288170464248e-19,3.96763922131314e-18,0.0011719390009031,3.49829145006463e-19,0,1.75723378399241e-17,0.00541556245276527,0,0,1.90960286503837e-18,1.91192098453963e-20,0,0.0559314438986954,1.30698145410225e-19,0.00115216267119688,8.97027227515614e-22,0.000821684390795966,0.00244691153415637,0.0109546205418413,0.0134015320759977,GSM3758013,GSE130970
0.02573315536279,0.000725004230885465,0,0,0.0355152166418159,9.3460698557199e-21,0,2.22161193759273e-18,0.00274368356867088,0,0,0,0.0010390393526879,2.3238838382101e-18,0.00115247191206279,0,0,0.00185859577640714,0.000433691505441488,0,0.00177539333853124,1.52418691692502e-19,0,0,2.45464338172219e-18,0.0102861202320867,2.43762095602482e-19,0.0265239063190092,0,8.52773809709183e-20,5.22443889008702e-19,0.00500534339111136,0.00619700466091401,1.60546241149054e-19,0.000531843250022309,2.29973659409517e-19,0.000714364965684405,0,0.0266201878279556,1.27109669762583e-18,4.75742554699355e-19,3.41945575610792e-18,0.0411558887824667,0.00374950542744601,0.00300028952541419,0,0.00021491695049372,0,0,0.000808593581285811,0,8.21584554559724e-21,2.67705208698253e-18,0.00695906526858056,3.21769717952657e-18,1.95230515717092e-18,2.39472394187935e-19,5.44666898355505e-20,0,0.0732087419373881,0,0.00779590301151474,0.000794391971857698,0.00340071990898741,0.00369145776075578,0.00125019878470836,0.00494165654546413,GSM3758014,GSE130970
